Aguascalientes,,,,,
,Gobernador,,,,
,PAN,Martín Orozco Sandoval,http://martinorozco.mx/,,
,PRI,Lorena Martínez Rodríguez,http://www.lorenamartinezrodriguez.com/,,
,PRD,Iván Alejandro Sánchez Nájera,,https://www.facebook.com/ia.sancheznajera,
,Independiente,Gabriel Arellano Espinosa,,https://www.facebook.com/gabriel.arellanoespinosa/timeline,
,,,,,
,Aguascalientes,,,,
,PAN,María Teresa Jiménez Esquivel,http://www.terejimenez.org/,,
,PRI,José de Jesús Ríos de Alba,,,
,PRD,Héctor Alejandro Vázquez Zúñiga,,,
,Independiente,Mauricio González López,http://mgl.mx/independiente/,,
,Partido Verde Ecologista de México,Bryan Mauricio Alafita Sáenz,,,
,,,,,
,Jesús María,,,,
,PAN,Noel Mata Atilano,,,
,PRI,Gilberto Rodríguez Domínguez,,,
,PRD,Miriam Luna Hidalgo,,,
,Independiente,Rodrigo Andrade Carreón,,https://www.facebook.com/Rodrigo-Andrade-1011669565541117/info/?tab=page_info,
,Partido Verde Ecologista de México,Rosa María de Alba Pedroza,,,
,,,,,
,Rincón de Romos,,,,
,PAN,Humberto Domínguez Castorena,,,
,PRI,Francisco Javier Rivera Luévano,,,
,PRD,Rosa Hermina Herrera Palacios,,,
,Independiente,Fernando Antonio Castonena Rosales,,,
,Independiente,Rubén Oropeza Ramos,,,
,Partido Verde Ecologista de México,Ma. Carmen Rodríguez Reyes,,,
,,,,,
Baja California,,,,,
,Tijuana,,,,
,PAN,Juan Manuel Gastelum,http://juanmanuelgastelum.mx/,,
,PRI,René Adrián Mendívil,http://renemendivil.mx/,,
,Morena,Ismael Burgueño Ruiz,,,
,PRD,Vicente Vega,,,
,Independiente,Gastón Luken Garza,http://www.gastonluken.com/,,
,Partido de Baja California,Héctor Osuna Jaime,,,
,Partido Peninsular de las Californias,Ignacio Anaya Barriguete,,,
,Partido Humanista,Roberto Proo Mendoza,,,
,,,,,
,Mexicali,,,,
,PAN,Gustavo Sánchez Vázquez,,,
,PRI,Antonio Magaña,http://www.antoniomagaña.com/,,
,PRD,Graciela Francisca Ramos López,,,
,Morena,Beatriz Ávalos Valenzuela,,,
,Partido de Baja California,Elvira Luna Pineda,http://elviraluna.blogspot.mx/,,
,PartidoMunicipalista de Baja California,Imelda Arellano Servín,,,
,Partido Humanista,Joaquín Cervando Flores Curiel,,,
,,,,,
,Ensenada,,,,
,PAN,Carlos Loyola Peterson,,,
,PRI,Marco Novelo,http://www.marconovelo.mx/,,
,Morena,Silvia Gómez Correa,,https://www.facebook.com/Silvia-Gomez-Correa-1151875578197755/,
,PRD,Fernando Rivera Garibaldi,,,
,Partido de Baja California,Rafael García Parra,,,
,Partido Municipalista de Baja California,Gisel Flores Gómez Martínez,,,
,Partido Peninsular de las Californias,Liliana Lucero,,,
,Independiente,Jesús Alfredo Rosales Green,,https://www.facebook.com/AlfredoRosalesGreen/,
,Partido Humanista,María de Jesús Gabriela Torres,,,
,,,,,
Chihuahua,,,,,
,Gobernador,,,,
,PAN,Javier Corral Jurado,http://www.javiercorral.org/,,
,PRI,Enrique Serrano Escobar,http://enriqueserrano.mx/,,
,PRD,Jaime Beltrán del Río,,,https://twitter.com/j_beltrandelrio
,Morena,Francisco Javier Félix Muñóz,,https://www.facebook.com/SoyJFM/info/?tab=page_info,
,Candidato Independiente,José Luis Barraza,http://www.chachoindependiente.com/,,
,,,,,
,Cuidad Juárez,,,,
,PAN,María Victoria Caraveo Vallina,,,
,PRI,Héctor Murguía Lardizábal,,,https://twitter.com/teto_murguia
,PRD,Lluvia Esther Luna Nevárez,,,
,Morena,Juan Carlos Loera de la Rosa,,https://www.facebook.com/juancarlos.loera/about?section=overview&pnref=about,
,Candidato Independiente,Héctor Armando Cabada Alvídrez,,,
,,,,,
,Chihuahua,,,,
,PAN,María Eugenia Campos Galván,http://www.marucampos.mx/,,
,PRI,Lucía Chavira Acosta,http://www.luciachavira.mx/,,
,PRD,Manuel Narváez Narváez,,https://www.facebook.com/candidatonarvaez/info?tab=page_info,
,Morena,David Óscar Castrejón Rivas,,,
,Candidato Independiente,Javier Mesta Delgado,http://javiermesta.com/,,
,Candidato Independiente,Luis Enrique Terrazas Seyffert,http://www.enriqueterrazas.com/,,
,,,,,
,Cuauhtémoc,,,,
,PAN,Humberto Perez Holguín,,,
,PRI,Kamel Athié Flores,,https://www.facebook.com/kamel.athieflores/about?section=contact-info&pnref=about,
,Movimiento Ciudadano,Germán Hernández Arzaga,,,
,Candidato Independiente,Carlos Tena Narváez,,,
,,,,,
Colima,,,,,
,Gobernador,,,,
,PAN,Jorge Luis Preciado Rodríguez,,,https://twitter.com/jl_preciado_?lang=es
,PRI,José Ignacio Peralta Sánchez,,https://www.facebook.com/NachoPeraltaCol/info/?tab=page_info,
,PRD,Martha Zepeda del Toro,,https://www.facebook.com/MarthaZepedaPRD/info?tab=page_info,
,Morena,José Francisco Gallardo Rodríguez,,,
,Movimiento Ciudadano,Leoncio Morán Sánchez,,,https://twitter.com/leonciomoranl8
,,,,,
Durango,,,,,
,Gobernador,,,,
,PAN-PRD,José Rosas Aispuro Torres,,https://www.facebook.com/JoseRosasAispuroTorres,
,PRI-PVEM-PANAL,Esteban Villegas Villareal,http://paraquetuganesmas.com/,,
,PT,Alejandro González Yáñez,,https://www.facebook.com/people/Gonzalo-Y%C3%A1%C3%B1ez/100008044485296,
,Morena,Guillermo Fabela Quiñones,,,https://twitter.com/morenadurango
,Candidato Independiente,Alejandro Campa Avitia,,http://facebook.com/campa.alejandro,
,,,,,
Hidalgo,,,,,
,Gobernador,,,,
,PAN,Francisco Javier Berganza Escorza,,https://www.facebook.com/franciscoxavierberganza/,
,PRI,Omar Fayad Meneses,http://omarfayad.org.mx/,,
,PRD-PT,José Guadarrama Márquez,,,https://twitter.com/jose_guadarrama
,Morena,Salvador Torres Cisneros,,https://www.facebook.com/Salvador-Torres-Cisneros-484779545040844/,
,,,,,
,Pachuca de Soto,,,,
,Municipal,,,,
,PAN,Yolanda Tellería Beltrán,http://yolitelleria.com/,,
,PRI,Mirna Hernández Morales,,,https://twitter.com/mirnahermo?lang=es
,Movimiento Ciudadano,Antonio Mota,https://antoniomota.mx/,,
,,,,,
Oaxaca,,,,,
,Gobernador,,,,
,PAN,José Antonio Estefan Garfias,http://www.pepetonoestefan.net/,,
,PRI,Alejandro Murat Hinojosa,http://www.alejandromurat.com/,,
,Morena,Salomón Jara Cruz,http://www.salomonjara.mx/,,
,PT,Benjamín Robles Montoya,http://benjaminrobles.mx/,,
,Partido Unión Popular,Francisco Javier Jiménez Jiménez,,,
,Partido Renovación Social,Joaquín Ruiz Salazar,,https://www.facebook.com/jruizsalazar1,
,Partido Social Demócrata,Manuel Pérez Morales,,,https://twitter.com/mapemo
,,,,,
,Oaxaca de Juárez,,,,
,Municipal,,,,
,PAN,Sergio Andrés Bello Guerra,http://www.sergiobello.mx/,,
,PRI,José Antonio Hernández Fraguas,,,https://twitter.com/jahfraguas
,Movimiento Ciudadano,Margarita García García,,,
,Morena,Oswaldo García Jarquín,http://oswaldogarcia.mx/v2/,,
,Partido Unidad Popular,Felipe Jaén Maldonado Ricárdez,,,
,PT,Bárbara García Chávez,http://www.barbaragarcia.mx/,,
,,,,,
,San Juan Bautista Tuxtepec,,,,
,Municipal,,,,
,PAN,Pedro López Delgado,,,
,PRI,Antonio Sacre Rangel,,https://www.facebook.com/antonio.sacrerangel,
,Movimiento Ciudadano,Guadalupe García Almanza,,https://www.facebook.com/mariaguadalupe.garciaalmanza.12/about,
,Nueva Alianza,Javier Pacheco Villaseñor,,,
,Partido Socialdemócrata,Fernando Guerra López,,,
,Partido Unión Popular,Arturo Avendaño López,,https://www.facebook.com/Arturo-Avenda%C3%B1o-Lopez-612865348724585/,
,,,,,
,Juchitán de Zaragoza,,,,
,Municipal,,,,
,PAN,Gloria Sánchez López,,,
,PRI,Daniel Gurrión Matías,,https://www.facebook.com/daniel.gurrionmatias,
,,,,,
,Salina Cruz,,,,
,Municipal,,,,
,PRI,José Luis Vázquez Jiménez,,,
,,,,,
Puebla,,,,,
,Gobernador,,,,
,PAN,José Antonio Gali Fayad,http://tonygali.mx/,,
,PRI,Blanca Alcalá Ruiz,http://www.soyblancaalcala.com/,,
,PRD,Roxana Luna Porquillo,http://www.roxanaluna.mx/,,
,Morena,Abraham Quiroz Palacios,http://www.abrahamquiroz.org/morena/,,
,Independiente,Ana Teresa Aranda Orozco,http://anatere.mx/,,
,,,,,
Quintana Roo,,,,,
,Gobernador,,,,
,PAN,Carlos Joaquín González,http://www.carlosjoaquin.mx/,,
,PRI,Mauricio Góngora Escalante,http://www.mauricio-gongora.org.mx/,,
,Morena,José Luis Pech Varguez,https://www.facebook.com/pechvarguez,,
,,,,,
,Lázaro Cárdenas,,,,
,PAN,Trinidad García Argüelles,,https://www.facebook.com/trinidad.garciaarguelles.5,
,PRI,Emilio Jiménez Ancona,,https://www.facebook.com/EmilioJimenezAncona/timeline,
,Movimiento Ciudadano,María Rosalía Balam Caamal,,https://www.facebook.com/mariarosalia.balamcaamal,
,Morena,Martha Loya Cobos,,,https://twitter.com/mloyacobos
,Partido Encuentro Social,Carlos Alfaro Pech,,,
,,,,,
,Othón P. Blanco,,,,
,PAN,Luis Torres,,,
,PRI,Arlet Mólgora Glover,http://www.arletmolgora.mx/,,
,Movimiento Ciudadano,Rafael Alejandro Rivero Aburto,,,
,Morena,Laurentino Estrella Chan,,,
,Partido Encuentro Social,Inés López Chan,,,
,PT,Norma Aurora Hau González,,,
,,,,,
,Bacalar,,,,
,PAN,Rocío Lu Loria,,,
,PRI,Alexander Zetina,,https://www.facebook.com/alexanderzetinaturquesa/,
,Movimiento Ciudadano,Laura Marisol Ramos Hernández,,,
,Morena,Miguel Ángel Ferral Medrano,,,https://twitter.com/MiguelFerralM
,Partido Encuentro Social,Tonanzy Ortega Díaz,,,
,PT,Mauricio Morales Beiza,,https://www.facebook.com/mauricio.moralesbeiza/about,
,,,,,
Sinaloa,,,,,
,Gobernador,,,,
,PAN,Martín Heredia Lizárraga,http://www.martinheredia.mx/,,
,PRI,Quirino Ordáz Coppel,http://www.quirinoordaz.mx/,,
,PRD,Mariano Gómez Aguirre,,,https://twitter.com/MarianoxSinaloa
,Movimiento Ciudadano,Héctor Melesio Cuén Ojeda,http://cuen.mx/,,
,Morena,Jesús Estrada Ferreiro,http://www.estradaferreiro.mx/,,
,Partido Encuentro Social,Guadalupe Ramona Rocha Corrales,,,
,Candidato Independiente,Francisco Cuauhtémoc Frias Castro,,https://www.facebook.com/drfriascastro,
,PT,Leobardo Alcántara Martinez,,https://www.facebook.com/leobardo.alcantara.martinez,
,,,,,
,Culiacán,,,,
,PAN,Guerrillero Prieto Guerra,,,
,PRI,Jesús Antonio Valdés Palazuelos,http://www.jesusvaldes.com/,,
,PRD,Imelda Castro Castro,http://imeldacastro.mx/,,
,PT,Martha Alicia Camacho Loaiza,,,
,Partido Verde Ecologista de México,José Eduardo Ruiz Chimal,,,
,Morena,Ricardo Arnulfo Mendoza Zazueta,,https://www.facebook.com/Ricardo-Mendoza-1727051404191127/timeline,
,Encuentro social,María Aurora Mercado Luque,,https://www.facebook.com/profile.php?id=100009110730351,
,,,,,
,Mazatlán,,,,
,PAN,Salvador Reynosa Garzon,,https://www.facebook.com/salvador.reynosagarzon,
,PRI,Fernando Pucheta Sánchez,,,
,PRD,Sandra Emma Cuevas Raygoza,,https://www.facebook.com/sandraemma.cuevasraygoza,
,Partido Verde Ecologista de México,Eduardo Martínez López,,,
,Movimiento Ciudadano,Giova Camacho Castro,http://www.giovacamacho.mx/,,
,Morena,Luis Guilermo Benitez Torres,,https://www.facebook.com/luisguillermo.beniteztorres,
,Encuentro Social,Guadalupe Elizabeth Ríos Peña,,,
,,,,,
,Ahome,,,,
,PAN,Miguel Angel Camacho Sanchez,,https://www.facebook.com/miguelangel.camachosanchez.56,
,PRI,Alvaro Ruelas Echave,,,https://twitter.com/valloruelas
,PRD,Carlos Jesús Armenta Perea,,https://www.facebook.com/carlosjesus.armentaperea.3,
,PT,Mario Hilario Flores Leyva,,,
,Partido Verde Ecologista de México,Tomás Elizalde Díaz,,,
,Movimiento Ciudadano,Leoba Patricia López Ruiz,,,
,Nueva Alianza,Rubén Benjamin Félix Hays,http://www.rubenfelixhays.com,,
,Morena,Lucio Antonio Tarin Espinoza,,https://www.facebook.com/tarin123,
,Encuentro Social,Francisco Lagarda Verduzco,,,
,,,,,
Tamaulipas,,,,,
,Gobernador,,,,
,PAN,Francisco García Cabeza de Vaca,,,https://twitter.com/fgcabezadevaca?lang=es
,PRI,Baltazar Hinojosa Ochoa,http://baltazarhinojosa.com/,,
,PRD,Jorge Valdez Vargas,,,https://twitter.com/jorgevaldezprd
,PT,Armando Vera García,,https://www.facebook.com/aArmandoVeraGarcia/,
,Movimiento Ciudadano,Gustavo Cárdenas Gutiérrez,http://www.gustavocardenas.mx/,,
,Morena,Héctor Garza González,http://www.hectorgarza.mx/,,
,Partido Encuentro Social,Abdies Pineda Morín,,,https://twitter.com/abdiespineda
,Candidato Independiente,Francisco Chavira Martínez,http://franciscochavira.com.mx/,,
,,,,,
,Ciudad Victoria,,,,
,PAN,Arturo Soto Alemán,http://arturosoto.org/,,
,PRI,Óscar Almaraz Smer,http://www.oscaralmaraz.mx/,,
,PRD,"Sandra del Carmen Casar ""Shira""",,,https://twitter.com/shiracasar?lang=es
,Movimiento Ciudadano,Mónica Dávila de Cárdenas,,,
,Candidato Independiente,Xicotencatl González Uresti,http://www.xicoindependiente.com/,,
,,,,,
Tlaxcala,,,,,
,Gobernador,,,,
,PAN,Adriana Dávila Fernández,,,https://twitter.com/adrianadavilaf?lang=es
,PRI,Marco Antonio Mena Rodríguez,,,https://twitter.com/marcoamena
,PRD,Lorena Cuéllar Cisneros,http://www.lorenacuellar.mx/,,
,Movimiento Ciudadano,Edilberto Algredo Jaramillo,,https://www.facebook.com/edilbertoalgredojaramillo,
,Morena,Martha Palafox Gutiérrez,http://www.marthapalafox.com.mx/,,
,Partido Encuentro Social,Federico Barbosa,,https://www.facebook.com/profile.php?id=100010083907701,
,Partido Alianza Ciudadana,Felipe Hernández Hernández,,,
,Candidato Independiente,Jacob Hernández Corona,http://www.jacobhernandezcorona.com/,,
,,,,,
,Tlaxcala,,,,
,PRI,Víctor Briones,,,
,PAN,Anabell Ávalos,,https://www.facebook.com/profile.php?id=100001225987317,
,PRD,Francisco Hernández,,,
,,,,,
,Huamantla,,,,
,PAN,María del Carmen Cervantes,,https://www.facebook.com/mariadelcarmen.cervantes.14,
,PRI,Jorge Sánchez Jasso,,https://www.facebook.com/VoyConJasso/,
,PRD,Alfonso Sánchez Manzanilla,,,
,Partido Verde Ecologista de México,Salvador Santos Cedillo,,https://www.facebook.com/salvador.santoscedillo,
,Partido Alianza Ciudadana,Jesús Lohr,,,
,Nueva Alianza,Francisco Huesca,,,
,Morena,Miriam Roldán,,,
,Partido Socialista,Enrique Ramírez de la Vega,,,
,,,,,
,Apizaco,,,,
,PAN,Julio Hernández,,,
,PRI,Javier Rivera Bonilla,,,
,PRD,Enrique Aguilar,,,
,Independente,Ramón Huitrón,,,
,,,,,
Veracruz,,,,,
,Gobernador,,,,
,PRI,Héctor Yunes Landa,http://hectorgobernador.com/,,
,PAN,Miguel Ángel Yunes Linares,http://www.miguelyunes.com/,,
,Morena,Cuitláhuac García Jiménez,http://www.cuitlahuacgarcia.com/,,
,Movimiento Ciudadano,Armando Méndez de la Luz,http://armandomendezdelaluz.mx/,,
,PT,Alba Leonila Méndez Herrera,https://about.me/albadeveracruz,,
,Partido Encuentro Social,Víctor Alejandro Vázquez Cuevas,,,
,Candidato Independiente,Juan Bueno Torio,http://www.voluntariosjuan.com/,,
,,,,,
Zacatecas,,,,,
,Gobernador,,,,
,PAN,Rafael Flores Mendoza,http://rafaflores.mx/,,
,PRI,Alejandro Tello Cristerna,http://alejandrotello.com.mx/,,
,Morena,David Monreal Ávila,http://davidmonreal.mx/,,
,PT,Magdalena Núñez Monreal,,,
,Partido Encuentro Social,Marco Antonio Flores Sánchez,,,
,Zacatecas con Alma (Candidato Independiente),Alma Rosa Ollervides González,http://almaindependiente.com/,,
,Haremos Historia (Candidato Independiente),Rogelio Soto Acuña,,,https://twitter.com/rogeliosotoa
,,,,,
,Zacatecas,,,,
,PAN,María Guadalupe Medina Padilla,,,
,PRI,Judit Magdalena Guerrero López,http://juditguerrero.mx/,,
,Morena,María Soledad Luévano Cantú,,,
,PT,Carlos de la Torre Tosca,,https://www.facebook.com/carlos.delatorretosca,
,Movimiento Ciudadano,Heladio Gerardo Verver y Vargas Ramírez,,https://www.facebook.com/Heladio-Verver-186715604766326/timeline/,
,Partido Encuentro Social,Daniel Ruiz Romo,,,
,Candidato Independiente,Ernesto Carlos López Valerio,,https://www.facebook.com/ernesto.lopezvalerio,
,Candidato Independiente,Maricela Arteaga Solís,http://ljmmaricelaarteagas.com/tag/solis/,,
,Candidato Independiente,Rodolfo Rodríguez Navarro,,,
,,,,,
,Fresnillo,,,,
,PAN,J. Jesús Badillo Valdez,,,
,PRI,José Haro de la Torre,http://www.pepeharo.mx/,,
,Morena,Enrique Manuel Laviada Cirerol,,,
,PT,Juan Carlos Corona Campos,,https://www.facebook.com/JCarlosCoronaCampos/,
,Movimiento Ciudadano,Gerardo Leyva Hernández,,,
,Partido Encuentro Social,Jorge Luis Guzmán Domínguez,,,
,Candidato Independiente,Raúl Ulloa Guzmán,,https://www.facebook.com/raul.ulloaguzman,
,,,,,
,Guadalupe,,,,
,PAN,Aquiles González Navarro,,,
,PRI,Enrique Guadalupe Flores Mendoza,http://enriqueguadalupeflores.com/,,
,Morena,Clemente Velázquez Medellín,,https://www.facebook.com/clemens65,
,PT,José Dolores Hernández Escareño,,,
,Movimiento Ciudadano,Ingrid Medina Díaz,,,
,Partido Encuentro Social,Faustino Adame Ortiz,,https://www.facebook.com/people/Faustino-Adame-Ortiz/100011825401146,
,Candidato Independiente,Ultiminio González Bañuelos,,,
